Name,Picture,PictureBig
L-Recapin Shampoing ,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/aires_files/27000_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/aires_lens.jpg
L-Recapin Tonicum,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/aires_files/27001_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/aires_lens.jpg
L-Recapin Set,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/aires_files/27002_90.jpg,https://shop.lrworld.com/lrshopStatic/images_NEW/products/GLOBAL/aires_lens.jpg
